Year,Month,CO2,Date
1990,1,353.86,1990-01-01
1990,2,355.1,1990-02-01
1990,3,355.75,1990-03-01
1990,4,356.38,1990-04-01
1990,5,357.38,1990-05-01
1990,6,356.39,1990-06-01
1990,7,354.89,1990-07-01
1990,8,353.06,1990-08-01
1990,9,351.38,1990-09-01
1990,10,351.69,1990-10-01
1990,11,353.14,1990-11-01
1990,12,354.41,1990-12-01
1991,1,354.93,1991-01-01
1991,2,355.82,1991-02-01
1991,3,357.33,1991-03-01
1991,4,358.77,1991-04-01
1991,5,359.23,1991-05-01
1991,6,358.23,1991-06-01
1991,7,356.3,1991-07-01
1991,8,353.97,1991-08-01
1991,9,352.34,1991-09-01
1991,10,352.43,1991-10-01
1991,11,353.89,1991-11-01
1991,12,355.21,1991-12-01
1992,1,356.34,1992-01-01
1992,2,357.21,1992-02-01
1992,3,357.97,1992-03-01
1992,4,359.22,1992-04-01
1992,5,359.71,1992-05-01
1992,6,359.44,1992-06-01
1992,7,357.15,1992-07-01
1992,8,354.99,1992-08-01
1992,9,353.01,1992-09-01
1992,10,353.4,1992-10-01
1992,11,354.42,1992-11-01
1992,12,355.68,1992-12-01
1993,1,357.1,1993-01-01
1993,2,357.42,1993-02-01
1993,3,358.59,1993-03-01
1993,4,359.39,1993-04-01
1993,5,360.3,1993-05-01
1993,6,359.64,1993-06-01
1993,7,357.45,1993-07-01
1993,8,355.76,1993-08-01
1993,9,354.14,1993-09-01
1993,10,354.22,1993-10-01
1993,11,355.53,1993-11-01
1993,12,357.03,1993-12-01
1994,1,358.36,1994-01-01
1994,2,359.04,1994-02-01
1994,3,360.11,1994-03-01
1994,4,361.36,1994-04-01
1994,5,361.78,1994-05-01
1994,6,360.94,1994-06-01
1994,7,359.51,1994-07-01
1994,8,357.59,1994-08-01
1994,9,355.86,1994-09-01
1994,10,356.21,1994-10-01
1994,11,357.65,1994-11-01
1994,12,359.1,1994-12-01
1995,1,360.04,1995-01-01
1995,2,361.0,1995-02-01
1995,3,361.98,1995-03-01
1995,4,363.44,1995-04-01
1995,5,363.83,1995-05-01
1995,6,363.33,1995-06-01
1995,7,361.78,1995-07-01
1995,8,359.33,1995-08-01
1995,9,358.32,1995-09-01
1995,10,358.14,1995-10-01
1995,11,359.61,1995-11-01
1995,12,360.82,1995-12-01
1996,1,362.2,1996-01-01
1996,2,363.36,1996-02-01
1996,3,364.28,1996-03-01
1996,4,364.69,1996-04-01
1996,5,365.25,1996-05-01
1996,6,365.06,1996-06-01
1996,7,363.69,1996-07-01
1996,8,361.55,1996-08-01
1996,9,359.69,1996-09-01
1996,10,359.72,1996-10-01
1996,11,361.04,1996-11-01
1996,12,362.39,1996-12-01
1997,1,363.24,1997-01-01
1997,2,364.21,1997-02-01
1997,3,364.65,1997-03-01
1997,4,366.48,1997-04-01
1997,5,366.77,1997-05-01
1997,6,365.73,1997-06-01
1997,7,364.46,1997-07-01
1997,8,362.4,1997-08-01
1997,9,360.44,1997-09-01
1997,10,360.97,1997-10-01
1997,11,362.65,1997-11-01
1997,12,364.51,1997-12-01
1998,1,365.39,1998-01-01
1998,2,366.1,1998-02-01
1998,3,367.36,1998-03-01
1998,4,368.79,1998-04-01
1998,5,369.56,1998-05-01
1998,6,369.13,1998-06-01
1998,7,367.98,1998-07-01
1998,8,366.1,1998-08-01
1998,9,364.16,1998-09-01
1998,10,364.54,1998-10-01
1998,11,365.67,1998-11-01
1998,12,367.3,1998-12-01
1999,1,368.35,1999-01-01
1999,2,369.28,1999-02-01
1999,3,369.84,1999-03-01
1999,4,371.15,1999-04-01
1999,5,371.12,1999-05-01
1999,6,370.46,1999-06-01
1999,7,369.61,1999-07-01
1999,8,367.06,1999-08-01
1999,9,364.95,1999-09-01
1999,10,365.52,1999-10-01
1999,11,366.88,1999-11-01
1999,12,368.26,1999-12-01
2000,1,369.45,2000-01-01
2000,2,369.71,2000-02-01
2000,3,370.75,2000-03-01
2000,4,371.98,2000-04-01
2000,5,371.74,2000-05-01
2000,6,371.87,2000-06-01
2000,7,370.02,2000-07-01
2000,8,368.27,2000-08-01
2000,9,367.15,2000-09-01
2000,10,367.18,2000-10-01
2000,11,368.53,2000-11-01
2000,12,369.83,2000-12-01
2001,1,370.76,2001-01-01
2001,2,371.69,2001-02-01
2001,3,372.63,2001-03-01
2001,4,373.55,2001-04-01
2001,5,374.03,2001-05-01
2001,6,373.4,2001-06-01
2001,7,371.68,2001-07-01
2001,8,369.78,2001-08-01
2001,9,368.34,2001-09-01
2001,10,368.61,2001-10-01
2001,11,369.94,2001-11-01
2001,12,371.42,2001-12-01
2002,1,372.7,2002-01-01
2002,2,373.37,2002-02-01
2002,3,374.3,2002-03-01
2002,4,375.19,2002-04-01
2002,5,375.93,2002-05-01
2002,6,375.69,2002-06-01
2002,7,374.16,2002-07-01
2002,8,372.03,2002-08-01
2002,9,370.92,2002-09-01
2002,10,370.73,2002-10-01
2002,11,372.43,2002-11-01
2002,12,373.98,2002-12-01
2003,1,375.07,2003-01-01
2003,2,375.82,2003-02-01
2003,3,376.64,2003-03-01
2003,4,377.92,2003-04-01
2003,5,378.78,2003-05-01
2003,6,378.46,2003-06-01
2003,7,376.88,2003-07-01
2003,8,374.57,2003-08-01
2003,9,373.34,2003-09-01
2003,10,373.31,2003-10-01
2003,11,374.84,2003-11-01
2003,12,376.17,2003-12-01
2004,1,377.17,2004-01-01
2004,2,378.05,2004-02-01
2004,3,379.06,2004-03-01
2004,4,380.54,2004-04-01
2004,5,380.8,2004-05-01
2004,6,379.87,2004-06-01
2004,7,377.65,2004-07-01
2004,8,376.17,2004-08-01
2004,9,374.43,2004-09-01
2004,10,374.63,2004-10-01
2004,11,376.33,2004-11-01
2004,12,377.68,2004-12-01
2005,1,378.63,2005-01-01
2005,2,379.91,2005-02-01
2005,3,380.95,2005-03-01
2005,4,382.48,2005-04-01
